4.41E+03,4.05E+03,4.10E+03,4.22E+03,4.57E+03,4.03E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.61E+03,4.82E+03,4.62E+03,4.65E+03,1.00E+00
4.41E+03,4.04E+03,4.10E+03,4.23E+03,4.57E+03,4.03E+03,4.29E+03,4.33E+03,4.41E+03,4.01E+03,4.61E+03,4.81E+03,4.63E+03,4.66E+03,1.00E+00
4.40E+03,4.02E+03,4.10E+03,4.22E+03,4.57E+03,4.03E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.60E+03,4.80E+03,4.62E+03,4.65E+03,1.00E+00
4.40E+03,4.00E+03,4.09E+03,4.21E+03,4.57E+03,4.03E+03,4.28E+03,4.33E+03,4.41E+03,4.00E+03,4.60E+03,4.80E+03,4.61E+03,4.65E+03,1.00E+00
4.41E+03,3.99E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.61E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.40E+03,3.97E+03,4.10E+03,4.23E+03,4.57E+03,4.04E+03,4.29E+03,4.33E+03,4.41E+03,4.01E+03,4.61E+03,4.82E+03,4.63E+03,4.66E+03,1.00E+00
4.40E+03,3.95E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.33E+03,4.41E+03,4.01E+03,4.60E+03,4.82E+03,4.63E+03,4.66E+03,1.00E+00
4.39E+03,3.93E+03,4.10E+03,4.21E+03,4.57E+03,4.04E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.60E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.39E+03,3.91E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.33E+03,4.40E+03,4.00E+03,4.60E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.39E+03,3.90E+03,4.10E+03,4.22E+03,4.57E+03,4.03E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.60E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.39E+03,3.88E+03,4.10E+03,4.22E+03,4.57E+03,4.03E+03,4.28E+03,4.33E+03,4.41E+03,4.01E+03,4.60E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.38E+03,3.87E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.32E+03,4.41E+03,4.00E+03,4.60E+03,4.80E+03,4.62E+03,4.66E+03,1.00E+00
4.38E+03,3.86E+03,4.10E+03,4.22E+03,4.58E+03,4.04E+03,4.29E+03,4.32E+03,4.40E+03,4.00E+03,4.60E+03,4.80E+03,4.62E+03,4.66E+03,1.00E+00
4.37E+03,3.84E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.28E+03,4.32E+03,4.40E+03,3.99E+03,4.60E+03,4.80E+03,4.61E+03,4.66E+03,1.00E+00
4.37E+03,3.83E+03,4.09E+03,4.22E+03,4.57E+03,4.04E+03,4.28E+03,4.33E+03,4.40E+03,3.99E+03,4.59E+03,4.80E+03,4.61E+03,4.64E+03,1.00E+00
4.37E+03,3.82E+03,4.09E+03,4.22E+03,4.57E+03,4.05E+03,4.29E+03,4.33E+03,4.41E+03,4.00E+03,4.60E+03,4.80E+03,4.61E+03,4.65E+03,1.00E+00
4.37E+03,3.81E+03,4.09E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.34E+03,4.42E+03,4.01E+03,4.60E+03,4.80E+03,4.62E+03,4.67E+03,1.00E+00
4.37E+03,3.80E+03,4.10E+03,4.21E+03,4.57E+03,4.03E+03,4.29E+03,4.34E+03,4.42E+03,4.01E+03,4.60E+03,4.81E+03,4.62E+03,4.66E+03,1.00E+00
4.37E+03,3.79E+03,4.10E+03,4.22E+03,4.57E+03,4.04E+03,4.29E+03,4.34E+03,4.42E+03,4.01E+03,4.60E+03,4.81E+03,4.62E+03,4.65E+03,1.00E+00
